Speed,Heading,Acc X,Acc Y,Acc Z,gyro_x,gyro_y,gyro_z,outputx,outputy,outputz,outputgx,outputgy,outputgz,outputspeed
0,331,0.0471,0.036599997,0.17189999,-6.98E-05,-0.005183628,-0.007557276,0.002620387,0.014006385,0.023836328,-6.23E-05,-0.000568234,-0.004594943,2.70E-07
0,331,0.1257,0.3109,0.1055,-0.019181168,0.005061455,-0.01870993,0.00160538,0.013616685,0.023850531,-7.06E-05,-0.0006573,-0.004596486,2.92E-07
0,331,0.021599999,0.0054,0.2276,-0.010925761,0.09260717,-0.09238028,0.00052314,0.013184644,0.023805501,-8.00E-05,-0.000743975,-0.004588774,3.14E-07
0,331,0.39659998,0.0927,-0.1041,-0.006091199,-0.003525565,-0.02883284,-0.000621554,0.012711369,0.023700663,-9.06E-05,-0.000827874,-0.004571687,3.36E-07
0,331,0.3812,0.13149999,-0.116799995,-0.02459169,-0.010053096,-0.086149454,-0.001823266,0.01219819,0.023535825,-0.000102185,-0.000908601,-0.004545172,3.59E-07
0,331,0.36429998,0.18859999,-0.29639998,0.014643312,0.037332594,-0.003647738,-0.00307592,0.011646657,0.023311161,-0.000114873,-0.000985758,-0.004509248,3.81E-07
0,331,0.1592,-0.3699,0.6813,0.001029744,-0.025045475,-0.051120695,-0.004372841,0.011058533,0.023027193,-0.000128595,-0.001058946,-0.004464008,4.04E-07
0,331,0.5775,0.1092,-0.4692,-0.043860123,0.009023353,-0.050893802,-0.005706815,0.010435779,0.022684774,-0.000143327,-0.001127769,-0.004409617,4.26E-07
0,331,-0.9094,-0.4084,0.5832,0.011170107,-0.05461135,0.021607175,-0.007070164,0.00978054,0.022285081,-0.000159045,-0.001191842,-0.004346307,4.47E-07
0,331,0.69619995,1.074,-0.0317,0.016388642,0.043598324,-0.048991393,-0.008454843,0.009095137,0.0218296,-0.000175719,-0.001250794,-0.004274371,4.69E-07
0,331,-0.5703,-0.1705,0.0084,0.028501227,-0.018779743,0.041975167,-0.009852536,0.008382063,0.021320104,-0.000193321,-0.001304275,-0.004194159,4.89E-07
0,331,-0.4384,-0.19029999,0.1786,0.004572763,-0.030613074,0.024504423,-0.011254761,0.007643963,0.020758626,-0.000211815,-0.001351959,-0.004106063,5.10E-07
0,331,-0.0554,0.1134,-0.3166,0.002146755,-0.03302163,0.020228365,-0.012652956,0.006883618,0.020147427,-0.00023116,-0.001393548,-0.004010516,5.29E-07
0,332,-0.1373,-0.21079999,0.2383,0.004118977,-0.028501227,-0.000628319,-0.014038563,0.006103913,0.019488965,-0.00025131,-0.001428775,-0.003907981,5.48E-07
0,332,0.0206,0.1594,-0.37379998,-0.008569567,0.013735741,0.009180432,-0.015403094,0.005307803,0.018785857,-0.000272214,-0.001457408,-0.003798945,5.65E-07
0,332,-0.2497,-0.0643,0.0416,0.007871435,0.041800637,0.05466371,-0.016738186,0.004498289,0.018040849,-0.000293819,-0.001479249,-0.003683914,5.81E-07
0,331,-0.38509998,-0.3258,0.3426,-0.005078908,-0.026267204,0.0058294,-0.018035647,0.003678393,0.017256794,-0.00031607,-0.001494136,-0.003563414,5.96E-07
0,331,0.4572,0.0469,-0.3053,-0.024364796,-0.031782445,-0.04939282,-0.019287499,0.002851137,0.016436629,-0.000338908,-0.001501942,-0.003437982,6.10E-07
0,331,-0.2386,-0.0902,0.0372,0.00561996,-0.036494836,-0.000541052,-0.020486009,0.002019522,0.015583356,-0.000362279,-0.001502575,-0.003308171,6.22E-07
0,331,-0.1618,-0.0805,0.0289,-0.010838495,0.00132645,-0.016196655,-0.021623721,0.00118652,0.014700022,-0.000386127,-0.00149598,-0.003174544,6.32E-07
0,331,-0.074999996,0.0469,-0.039,0.000715585,-0.007033677,-0.00143117,-0.022693477,0.000355069,0.013789701,-0.000410397,-0.001482136,-0.00303768,6.40E-07
0,331,-0.1046,-0.002,0.0191,-0.003420845,0.00736529,-0.000942478,-0.023688451,-0.000471927,0.01285548,-0.000435039,-0.001461056,-0.002898165,6.46E-07
0,331,-0.124,-0.050899997,0.057699997,0.000977384,0.004310963,0.00986111,-0.02460216,-0.001291598,0.011900441,-0.000459999,-0.001432781,-0.002756596,6.50E-07
0,331,-0.085099995,0.0078,-0.030199999,-0.001919862,0.001710423,-0.003246313,-0.025428486,-0.002101106,0.010927652,-0.000485227,-0.001397381,-0.002613576,6.52E-07
0,331,-0.0819,0.0077,-0.0308,-0.000977384,-0.000942478,0.003089233,-0.026161679,-0.002897637,0.009940152,-0.000510672,-0.001354949,-0.002469711,6.51E-07
0,331,-0.110599995,-0.0314,0.0273,-0.004590216,0.009896017,-0.010454522,-0.026796368,-0.003678403,0.008940938,-0.000536281,-0.0013056,-0.002325611,6.47E-07
0,331,0.018299999,-0.011899999,0.0475,0.001989676,0.004415683,-0.003769911,-0.027327557,-0.004440634,0.007932951,-0.000562,-0.001249467,-0.002181888,6.41E-07
0,331,0.0685,0.017199999,0.0188,0.003787365,0.002321288,-0.009320058,-0.027750621,-0.005181574,0.006919065,-0.000587774,-0.001186703,-0.002039153,6.31E-07
0,331,-0.0657,0.026999999,-0.0805,0.00158825,-0.005026548,-0.00164061,-0.028061306,-0.005898477,0.005902079,-0.000613544,-0.001117472,-0.001898017,6.18E-07
0,331,0.0221,0.026999999,-0.0313,-0.003298672,0.007086037,-0.004764749,-0.028255722,-0.0065886,0.004884697,-0.000639246,-0.001041956,-0.001759085,6.02E-07
